text,label
bhawani Saintery And Hardware Store,name
Hardware store,category
"Pipe Dukan, Rajput Road",address
091628 25605,phone
Sujeet Hardware,name
Hardware store,category
Natwar,address
093349 95032,phone
Niraj Hardware,name
Hardware store,category
"Nai bazar, Road, near Pnb bank infront of Madhu dressesdreess",address
076548 90805,phone
Om Sai Almunium,name
Hardware store,category
Buxar Nayi Bazar Bihar,address
062009 22539,phone
M.V Traders,name
Hardware store,category
Vishwamitra Colony,address
098352 20258,phone
V.P RAI,name
Hardware store,category
"Natwar, Golambar - Jaso Rd",address
089870 48668,phone
Jai Bhawani ply,name
Hardware store,category
"HXGM+F62 mahbir mandir, Main road",address
091101 72331,phone
Manoj Kumar Verma,name
Hardware store,category
Natwar,address
095252 61817,phone
KGN Steel,name
Hardware store,category
Natwar,address
080844 74562,phone
SHIV JEE HARDWARE,name
Hardware store,category
H44W+8JG,address
079031 31842,phone
Jai Bajrang,name
Hardware store,category
Mohania - Buxar Rd,address
082929 30072,phone
Shahid Mahant Singh Building Materials,name
Hardware store,category
Orapkurd Main Buxar,address
086519 71267,phone
Sajid Welding Work,name
Hardware store,category
"Shop No 95, near Main Market",address
082527 03557,phone
Vishal Medical Store,name
Pharmacy,category
"Churaman Pur, Buxar NH-84, Arrah, Arrah - Buxar Rd",address
087570 66425,phone
Mitra medical hall | Medical in Buxar,name
Drug store,category
HX33+J75,address
081768 70792,phone
SEHAT MEDICO,name
Pharmacy,category
Bandh Rd,address
079090 56631,phone
Shakti Homeo Pharma,name
Homeopathic pharmacy,category
opposite Vishal mega Mart,address
094728 13049,phone
Suraj Medical Hall,name
Pharmacy,category
"HXGJ+CCQ, Maccharhatta, Pull Main Road",address
094310 83838,phone
GREEN MEDICINE,name
Drug store,category
"Ambedkar chowk, near shyam vatika",address
070043 22809,phone
Balaji Drugs,name
Drug store,category
"Main road, Golambar - Jaso Rd",address
099553 35409,phone
Tanya Medical Hall,name
Pharmacy,category
"near, old rice mill mbgb bank, Buxar - Itarhi Rd",address
089368 00705,phone
KALYAN HOMOEO BHAWAN,name
Homeopathic pharmacy,category
Buxar - Itarhi Rd,address
094310 58780,phone
Saraswati Homoeo,name
Homeopathic pharmacy,category
Collectorate Road,address
082104 38082,phone
Homeopathic clinic,name
Homeopathic pharmacy,category
"Amla Toli, near UCO BANK",address
099318 37213,phone
Om Sai Medical Hall,name
Pharmacy,category
HXHH+QPV,address
073710 23763,phone
URMILA MEDICAL HALL,name
Pharmacy,category
"HXJJ+534, Buxar Hospital Rd",address
094310 99447,phone
Ashish Medical Hall,name
Medical supply store,category
Collectraite Rd Buxar,address
099399 10386,phone
Guru Kripa Medical,name
Pharmacy,category
Golamber Golamber Arrah,address
095234 31475,phone
Hamdard dawa Dukan,name
Medical clinic,category
"111, SH 13",address
082718 44150,phone
Aradhana Medical Store,name
Pharmacy,category
"Shop No 01, Baliya Road, near Hanuman Mandir",address
091698 58126,phone
Saudagar medical agency,name
Pharmacy,category
HXGM+CVM,address
082527 66006,phone
Janta Medical Store,name
Pharmacy,category
SH 13,address
079090 16484,phone
Kartik Medical,name
Pharmacy,category
Road,address
082105 71096,phone
Lilavati Health Care Medical Store,name
Medical Center,category
"jail pain road, near Station Road",address
091134 85881,phone
New Gupta Medico,name
Pharmacy,category
"HXFH+R5C, Hanuman fatak",address
078703 73981,phone
OM HOMOEO SEWA KENDRA or OM MEDICAL HALL(Dr.omprakash pandey),name
Pharmacy,category
Buxar - Chausa - Sasaram Rd,address
097713 35070,phone
Sanjeevani Medical Hall,name
Pharmacy,category
Natwar,address
095257 55888,phone
Pankaj Pharma,name
Medical supply store,category
HXHJ+P4Q,address
074881 83773,phone
KRITI MEDICAL AGENCY,name
Medical supply store,category
"Buxar - Itarhi Rd, in front of Nokha Mill",address
075430 90605,phone
New Bharat Medical Store,name
Pharmacy,category
"Shop No 01, Road, near Bharat Medical",address
099312 97166,phone
Pawan Medical Store,name
Doctor,category
Shop No 01,address
095174 51717,phone
Lalan ji medical hall (pet shop),name
Veterinary pharmacy,category
"Amla Toli Main Road, opp. to bata shoe",address
093081 95331,phone
Kanchan Singh Medical,name
Health and beauty shop,category
"Suman Jee Bhawan, 20, Ganga Bridge",address
077669 47964,phone
Sadguru Medical Store,name
Pharmacy,category
"Shop No 01, near Sabji Mandi",address
070842 75764,phone
J P Medical Store,name
Pharmacy,category
"103 Dafadihari, Lakh Road, near Middile School",address
097987 24779,phone
Arogy Homeo,name
Medical clinic,category
"me Mathiya, Badka Nuvaon raste, Mod",address
077630 01060,phone
MAA VINDVAHSHNI MEDICAL HALL,name
Pharmacy,category
Natwar,address
077619 62486,phone
Vikas Medical,name
Pharmacy,category
"Dumraon, Buxar, NH-84, Dumraon Bikamganj Road, Buxar",address
088733 21370,phone
Ajay Medical Store Mane Road Chausa Bajar Buxar,name
Pharmacy,category
Mane Road,address
099395 92371,phone
Aryan Medical,name
Pharmacy,category
"101, near Masjid",address
083401 20396,phone
Life care pathology,name
Diagnostic center,category
Jyoti Prakash Chowk,address
091100 27339,phone
"Lenskart.com at Buxar, Bihar",name
Optician,category
"Main, Road Chowk, near Reliance Trends",address
089293 34374,phone
Super Shakti Furniture,name
Furniture store,category
"Super Shakti Furniture, Ambedkar Chowk, Station Rd, near Baba Saheb Ambedkar Statue",address
093326 49501,phone
Godrej Interio - Jaiswal Agencies,name
Furniture store,category
"SATYADEOGANJ, MAIN ROAD 1st Floor, beside Reliance Trends",address
072503 46666,phone
RAJA FURNITURE,name
Shop supermarket furniture store,category
"PP Rd, near icici bank",address
095072 38099,phone
Aryan Furniture,name
Furniture store,category
"HXHQ+4G6, Truck Syndicate, Main Road",address
098013 50256,phone
Rohit Steel Furniture,name
Mattress store,category
"State Bank of India, Chowk Road",address
099343 79674,phone
Manthan handicrafts,name
Furniture store,category
"road, near shiv mandir",address
075410 82737,phone
Diamond Furniture,name
Furniture wholesaler,category
"Diamond Furniture, Piparpatti Road, near Central bank of India",address
081154 60331,phone
malhotra farniture,name
Mattress store,category
"Bazar Samiti, Bazar Samiti Road Near Nehru Smarak High School, Buxar 803103, Musafirganj Rd",address
091991 86777,phone
Ashish Ply,name
Furniture store,category
"Natwar, Golambar - Jaso Rd",address
072091 07061,phone
Nagendra Sharma & Sons,name
Furniture store,category
"Na, PP Rd",address
083403 30141,phone
"Sleepwell Exclusive Dealer - Koirpurwa, Buxar",name
Mattress store,category
"Punam Enterprises, nearby Vishwamitra Hospital",address
08071 629 638,phone
Taj Furniture And Electronic,name
Furniture store,category
"Shop No 01, Taj Furniture And Electronic Kotwanarayanpur",address
096963 48280,phone
JSN CITY CENTRAL MALL,name
Shopping mall,category
"HX7H+XFF, Ambedkar Chowk",address
074795 10027,phone
Vishal Kumar,name
Furniture store,category
Mohania Mohania,address
085418 46631,phone
मुन्ना शर्मा फर्नीचर,name
Furniture store,category
"HX76+JWX, Central Jail Rd",address
062997 44534,phone
Raj Furniture House,name
Furniture store,category
Station Rd,address
062075 98670,phone
Alimuniun Store,name
Furniture store,category
Natwar,address
091137 82827,phone
"Sleepwell Gallery - Koirpurwa, Buxar",name
Mattress store,category
"Furniture House, New, South Collectriate Road, nearby DPO Office",address
08071 629 254,phone
Shri Hanuman Furniture,name
Furniture store,category
"Hospital Road, near Petrol Pump",address
095256 07100,phone
Dharmendra Furniture,name
Furniture store,category
"101, Safakhana Rd, near Kabadi",address
062032 83617,phone
Pandeet Jee Loha Dukan,name
Mattress store,category
"Jyoti Prakash Bhawan, 22, PP Rd",address
084093 75784,phone
Uday Aluminum,name
Furniture store,category
"Uday Bhawan, 50, Buxar Road",address
085818 17184,phone
ANAND TILES BUXAR,name
Tile store,category
"Collectraite Rd Buxar, near indian bank",address
091554 87551,phone
Maa Vaishno Furniture,name
Furniture maker,category
"Vishwamitra hospital, Golmber, main road",address
070916 26239,phone
JAY MAA AMBEY FURNITURE WORKSHOP,name
Furniture store,category
"HX4F+9XH, FCI Rd",address
073528 59570,phone
श्री विश्वकर्मा फर्निचर,name
Furniture store,category
"HX9R+XRH, Golambar - Jaso Rd",address
072504 32845,phone
Shankar Ply House,name
Furniture store,category
"Shop No 99, Near Petrol Pump",address
070617 47309,phone
Sanjay Kumar Sharma Furniture,name
Furniture store,category
"BSNL Tower, Main Road",address
086515 64490,phone
Sudama Almunium Furniter,name
Furniture store,category
"101, Krishna Braham Rd",address
098010 70913,phone
Rahul Kirana and General Store,name
General store,category
ward no-03,address
084091 37637,phone
Kawash General Store,name
General store,category
"Main Road, opposite Satyadeo Mill",address
093080 07933,phone
Praful General Shop,name
General store,category
"Police Chowki, near Raj Mobile Shop",address
083906 71031,phone
vivek mashala store,name
General store,category
infront of jp library,address
086517 65978,phone
Sumit Anil General Store,name
General store,category
"Shop No 01, near Shiv Mandir",address
073502 32300,phone
Purum General Store,name
General store,category
"Shop No 01, near Durga Mandir",address
070134 30667,phone
Lovely General Store,name
Store,category
PP Rd,address
094318 46902,phone
Nita Navnath General Store,name
General store,category
"Shop No 01, near Durga Mandir",address
095947 25063,phone
Mauli General Store,name
General store,category
Bhumihari Feild,address
098349 96719,phone
Manas General Store,name
General store,category
"Shop No 01, Road Golamber, near Punjab National Bank",address
088307 66497,phone
Pappu kirana & general store,name
General store,category
"802101, Unnamed Road",address
072092 22992,phone
Vijay kirana store (विजय किराना स्टोर),name
General store,category
"Ambedkar chowk, Station Rd, near Hotel Royal Plaza",address
074881 80410,phone
Rajhans General Store,name
General store,category
Civil Line Road,address
076544 00161,phone
General Store,name
General store,category
Main Road,address
062011 66959,phone
Nandini General Store,name
General store,category
Buxar Main Rd,address
076779 84934,phone
Nandlal General Store,name
General store,category
"Shop No 01, near Balliya Railway Station",address
093361 61241,phone
Kajal General Store,name
General store,category
"Shop No 02, near Shiv Mandir",address
079783 94657,phone
Bunty Kirana Store,name
General store,category
Buxar Main Rd,address
082288 38188,phone
Kaushal General Shop,name
General store,category
near Baba Transport,address
083403 39005,phone
Kunal General Store,name
General store,category
"Shop No 01, near Pokhra",address
078706 43155,phone
Sonu Kirana Store,name
General store,category
Musafir Ganj,address
062064 28914,phone
Satyanarayan Keshari,name
General store,category
Station Rd,address
093041 95060,phone
Satendra General Store,name
General store,category
"Shop No 01, near Atta Mil",address
062007 46614,phone
Rajana General Store,name
General store,category
"Shop No 01, near Unwash School",address
077022 87029,phone
Ganesh General Store,name
General store,category
"Shop No 01, near Central Jail",address
088829 25098,phone
Vikesh General Store,name
General store,category
"Shop No 02, near Bhunihari Field",address
093046 41760,phone
General Shop,name
General store,category
"Police Chowki, near Vishal Mega Mart",address
087668 33675,phone
Kanithi General Shop,name
General store,category
Hospital Road,address
088283 25456,phone
Reshma shringar general Store,name
General store,category
Jahaj Ghat,address
072820 49241,phone
Nag General Store,name
General store,category
"Shop No 01, near Bhushan Bhawan",address
072057 27315,phone
Ramesh General Store,name
General store,category
"Ship No, 02",address
079910 34512,phone
Rajkumar Store,name
General store,category
"Shop No 01, Main Road, near Bhunihari Field",address
070113 23652,phone
Pritam General Shop,name
General store,category
Police Chowki,address
092639 98197,phone
Daya General Store,name
General store,category
near Bhumihari Feild,address
077519 31278,phone
Bhuneshwar General Store,name
General store,category
"Shop No 01, near Club",address
073546 62838,phone
Swati General Store,name
General store,category
"Shop No 01, near Krishna Cinena",address
090395 29807,phone
Imtiyaj Khan Kirana Store,name
General store,category
12 Barki,address
070610 57969,phone
Vidhya General Store,name
General store,category
"Shop No 02, near Durga Mandir",address
098703 32507,phone
Kailas General Shop,name
General store,category
"Police Chowki, near Raj Mobile Shop",address
083695 30197,phone
Buddhashil General Store,name
General store,category
"Shop No 01, near Naya Bazar",address
097552 10148,phone
Sujata General Store,name
General store,category
"Shop Nob01, near Civil Lines",address
084569 25257,phone
Arpit General Store,name
General store,category
"Shop No 01, near Bhunihari Field",address
095207 59142,phone
Hari General Store,name
General store,category
"Shop No 01, Main Road, near Aditya Birla Capital",address
096915 83437,phone
Keshri General Store,name
General store,category
Natwar,address
079922 82294,phone
Shashi General Store,name
General store,category
"Shop No 01, near Durga Mndir",address
062007 94705,phone
Abhay General Store,name
General store,category
"Shop No 01, near Sai Today",address
090267 53889,phone
Dhiru General Shop,name
General store,category
Main Road,address
092632 60641,phone
Sarbani General Store,name
General store,category
Station Rd,address
083359 33614,phone
Shiv Shanker General Store,name
General store,category
"Shop Non02, near Durga Mandir",address
085768 10391,phone
Yash Shivaji General Store,name
General store,category
"Shop No 02, near Shiv Mandir Sohnipatii",address
073858 56823,phone
Ramana General Store,name
General store,category
near Buniyadi Field,address
085988 73933,phone
Anandi Store,name
General store,category
"Shop No 01, Mathia Rd, near Hanuman",address
074005 96804,phone
BAAJI GENERAL STORE,name
General store,category
BUXAR MARKET,address
097081 99217,phone
Yuvraj General Store,name
General store,category
"Shop No 01, near Bhunihari",address
084322 35950,phone
Dhiraj General Store,name
General store,category
Police Choki,address
092792 13813,phone
Pushpendra General Store,name
General store,category
"Shop No 02, near Nahar",address
088689 72347,phone
Rajashree General Store,name
General store,category
"Shop No 02, near Rajashree Studio",address
098019 49873,phone
Mandla General Store,name
General store,category
"Shop No 02, near Surya Palace",address
090637 05220,phone
Mayur General Store,name
General store,category
Bypass Rd,address
062305 16899,phone
Aniket General Store,name
General store,category
"Shop No 01, near Kamalda Pokhra",address
084593 36768,phone
Sondi General Store,name
General store,category
"Shop No 02, near Hanuman Mandir",address
081799 21466,phone
Kuldeep General Store,name
General store,category
Bhumihari Feild,address
062621 26561,phone
Bisai General Store,name
General store,category
"Shop No 01, PP Rd, near Durga Mandir",address
091770 18815,phone
Erothu Store,name
General store,category
"Shop No 01, near Prem School",address
081060 59881,phone
Gobindo General Store,name
General store,category
"Shop No 01, Musafirganj Rd, near Apsra Hotel",address
094314 80301,phone
Chandra General Store,name
General store,category
"Shop No 01, near Kamal Pokhara",address
086020 63549,phone
Paul General Store,name
General store,category
"Shop Non01, near Bhunihari Field",address
074404 77931,phone
Golu Kirana&Genral Store,name
General store,category
"Ganesh Bhavan Jyoti Chowk, 22, Koirpurwa Rd",address
072092 48950,phone
Piyush General Store,name
General store,category
Girls High School,address
062037 61300,phone
Venktesh General Store,name
General store,category
Shop No 01 Civil lines,address
095504 74467,phone
Akhilesh Store,name
General store,category
"Shop No 01, Main Road, near Sudha Dairy",address
084079 15198,phone
Prince Kumar Paswan,name
General store,category
"Shop No 01, near Station Railway",address
074883 78277,phone
Lalita General Store,name
General store,category
"Shop No 01, near East Punjabi",address
076828 54151,phone
Arti General Store,name
General store,category
"Shop No 01, Main Road, near Juice Corner",address
075175 26852,phone
Dasari General Store,name
General store,category
Shop No 01,address
063031 46763,phone
Sirjavat General Store,name
General store,category
"Shop No 01, Main Road, near Sarita Clince",address
089562 77987,phone
Prashant General Store,name
General store,category
"Shop N0 02, near Durga Mandir",address
095570 93241,phone
Raajana General Store,name
General store,category
"Shop No 01, near Sohani Patti",address
098669 39448,phone
Rinki General Store,name
General store,category
"Shop No 01, near Saib today",address
077710 86354,phone
AMUDALA GENERAL STORE,name
General store,category
"Shop No 01, PP Rd, near Redbul Office",address
088788 67004,phone
Soma General Store,name
General store,category
"Shop No 01, near Sohni Patti",address
090518 60376,phone
Vishal Manjhi General Store,name
General store,category
"Shop No, 01, near Punjab National Bank",address
088188 75282,phone
Dupana General Store,name
General store,category
"Shop No 02, near Civil Lines",address
082970 96249,phone
GODU GENERAL STORE,name
General store,category
"Shop No 01, near Mahila Thana",address
096300 02990,phone
Zaki Javed General Store,name
General store,category
"Shop No 01, near Durga Mandir",address
076682 04812,phone
Raja General Store,name
General store,category
"Shop3455, near Durga Temple",address
095075 39869,phone
Jitesh General Store,name
General store,category
"Shop No 01, near Busstand",address
073045 24046,phone
Samir Rajak General Store,name
General store,category
"Shop No 01, near Bhumihari Field",address
095930 21935,phone
Anmol Genral Stor,name
General store,category
Jyoti Chook,address
063706 54198,phone
Santosh Kumar General,name
General store,category
HXJM+3GJ,address
084214 50466,phone
Kundan General Store,name
General store,category
"Shop No 02, near Ashoka School",address
081097 82562,phone
Balaji General Store,name
General store,category
"Shop No 01, near Itarhi",address
087885 33028,phone
Hariom General Store,name
General store,category
"Shop No 01, Bandh Rd, near Shiv Mandir",address
088720 85273,phone
Rohit Sabar General Store,name
General store,category
"Shop No 01, near Nahar",address
089672 75059,phone
Damayanti General Store,name
General store,category
"Shop No 01, Main Road, near Chandi Mall",address
084801 08422,phone
Aakash electronics,name
Electronics store,category
Amla toli,address
070042 90922,phone
Preeti electronic,name
Electronics store,category
"ITI College, HX46+RV4, SH 13",address
082102 02378,phone
New Shiv Guru Electric & Electronics,name
Electronics store,category
"Amla toli main road, AMLA TOLI MAIN RAOD, near Baba bata show",address
085409 53913,phone
"Gautam Electronics, Jaso road, Golambar, Buxar",name
Electronics store,category
"Jaso, road, Golambar - Jaso Rd",address
099340 94347,phone
Indralokwani Radio Kendra,name
Electronics store,category
PP Rd,address
097080 85585,phone
Sai Electronics,name
Electronics store,category
"Down of Axis Bank, Pushtakalay Road",address
099318 15643,phone
OM Computers Buxar,name
Computer store,category
"Sahid Baba Gali, PP Rd",address
079829 73010,phone
Suman Electronic,name
Electronics store,category
"HXGH+735, Namak gola road",address
094310 98670,phone
Smart Mobile And Bijli Ghar,name
Electronics store,category
Unnamed Road,address
082109 67003,phone
HP World,name
Computer store,category
Ground Floor Collectorate Road,address
086575 68682,phone
The Techpro,name
Electronics store,category
road blow,address
084430 26265,phone
Shri Hari Computers,name
Computer store,category
"P.P.Road Bakshu Shahid Gali, PP Rd",address
092042 61287,phone
Star Electronics,name
Electronics store,category
PP Rd,address
094310 83695,phone
Reliance Digital,name
Electronics store,category
"Ground & 1st Flr Ward, Plot No 500, Kh No 279, Station Rd, opposite Buniyadi School",address
08071 178 122,phone
Vaishnavi infotech,name
Computer store,category
"Collectorate road, near anand tiles",address
099393 97593,phone
Sarswati Enterprises,name
Electronics store,category
"HXGH+643, Namak gola road",address
081020 70551,phone
MILITARY STORE CSD CANTEEN,name
Electronics store,category
"Gola Bazar Road, near CSD Canteen",address
094553 77237,phone
NEW MOBILE JUNCTION,name
Electronics store,category
in front of Buxar Hotel,address
093867 20903,phone
Agrawal Electric,name
Electronics store,category
"Jamuna Chowk, Main road",address
070708 36889,phone
Studios Shish Mahal,name
Camera store,category
near Sbi Atm,address
093340 09213,phone
Raj electric and lighting,name
Electronics store,category
"buniyadi school ke saamne, Station Rd",address
094710 55644,phone
Baba Bijli Ghar,name
Electronics store,category
munim chowk,address
097717 61560,phone
Sanjit Cyber Cafe,name
Computer store,category
"Raj Katra, Nai Bazar Sabji Mandi",address
078709 71577,phone
Anand Kumar Verma,name
Electronics store,category
"Shop No 01, near Panchmukhi Mandir",address
062027 27392,phone
Chandan Gupta Buxer,name
Electronics store,category
"HX8G+FHF, Station Rd",address
095343 73672,phone
Aman Bijli Ghar,name
Electronics store,category
"Shop No 01, Hanuman Nagar Bypass, near Aman Bijli Ghar",address
080518 25939,phone
Manju Rai,name
Electronics store,category
"Shop No 01, near Shiv Mandir",address
073882 25767,phone
Amar Software,name
Computer store,category
"02, near Bypass Road",address
099557 00335,phone
Mahalaxmi Photo State,name
Computer store,category
near Union Bank,address
062060 92886,phone
Maa Geeta Cyber Cafe,name
Computer store,category
"Infront of Kamaldah, Pokhra Park, Station Rd",address
082522 53135,phone
Trisha Electrical,name
Electronics store,category
"Shop No 01, near Punjab Bank",address
070705 02492,phone
ASHUTOSH KUMAR,name
Computer store,category
"02, TURHA TOLI MAIN ROAD",address
092628 21120,phone
Shree Electronics,name
Electronics store,category
"Chowk, near pakwa innar",address
091101 50751,phone
Fresh Chicken Shop,name
Camera store,category
"Fresh Chicken Shop, Station Rd, in front of Tanishq Shoow Room",address
099054 76734,phone
Guddu Chiken Shop,name
Camera store,category
"Bucur, PP Rd",address
087091 58945,phone
Surya Printer's & Online Service,name
Computer store,category
"Surya Prakash Bhawan, 26, Namak Gola Road",address
062023 21112,phone
Verma Electronics,name
Electronics store,category
